,actual_price
actual_price,1.0
accommodates,0.6935872404374819
bedrooms,0.5823303383828023
beds,0.5025477720494085
Pack \u2019n play/Travel crib,0.35330151788328296
High chair,0.3300040115589426
Crib,0.30498289830794617
Private entrance,0.2949914062736658
bathrooms,0.27900799761582756
Game console,0.2566723946158289
Private BBQ grill: gas,0.2352234268874605
premium cable,0.23501493877887242
Private patio or balcony,0.23392545966914335
Apple TV,0.23114146283363685
wardrobe,0.23077715197766824
Children\u2019s dinnerware,0.22676468887627343
Private backyard \u2013 Not fully fenced,0.2236310498107573
Children's playroom,0.22092600233902163
Ethernet connection,0.21290102064000752
Shampoo,0.21262152864856207
Ceiling fan,0.2122036772605341
Folding or convertible high chair - always at the listing,0.20954148820782703
Housekeeping available from 7:00 AM to 9:30 AM - available at extra cost,0.20954148820782703
Wolf gas stove,0.2072764390701889
Housekeeping available 24 hours,0.2072764390701889
every day - available at extra cost,0.2072764390701889
Private outdoor kitchen,0.2072764390701889
Samsung sound system with Bluetooth and aux,0.2072764390701889
Sub-Zero refrigerator,0.2072764390701889
Outdoor dining area,0.20606232697006682
Children\u2019s books and toys,0.20468173570594905
Baby bath,0.20257356263047865
BBQ grill,0.20227847504175636
Outdoor furniture,0.19982356558894498
Drying rack for clothing,0.19684644408700622
Game console: PS3,0.19620346395481386
Garden view,0.19553123914279444
Shower gel,0.1888458421386887
Pets allowed,0.18859615828294166
Indoor fireplace,0.18718801926367798
Dishwasher,0.1856012229065611
Indoor fireplace: electric,0.1833910921210546
Baby safety gates,0.18209092103300642
and dresser,0.1815476323434421
EV charger - level 1,0.18037752146984207
Babysitter recommendations,0.18011483317819127
Lake access,0.17985170957938618
Private gym in building,0.17554909854485815
First aid kit,0.1753668132312805
Conditioner,0.17445657374922205
Hulu,0.1742853928830738
Free dryer \u2013 In unit,0.16124852872507356
Free parking on premises,0.15868608850389807
neighbourhood_cleansed_FIFTEENTH WARD,0.15601595377902522
Outlet covers,0.1534348707348504
Wolf stainless steel oven,0.14863118037939535
Movie theater,0.14364337184090764
Cleaning available during stay,0.14023695017856583
Wine glasses,0.1398053687003047
Free washer \u2013 In unit,0.13972024601438404
Private backyard \u2013 Fully fenced,0.13845780118780762
Dining table,0.1347792850542759
Organic body soap,0.13403985028655815
Organic conditioner,0.13403985028655815
Free carport on premises \u2013 3 spaces,0.13403985028655815
Table corner guards,0.13403985028655815
Bose sound system,0.13403985028655815
Private sauna,0.13403985028655815
Fast wifi \u2013 188 Mbps,0.1340398502865579
closet,0.13260154726473666
AC - split type ductless system,0.1292920724174573
neighbourhood_cleansed_SECOND WARD,0.1276468020122782
Coffee,0.12482731633584823
Body soap,0.12426111472753924
High chair - always at the listing,0.1234696209775802
Free driveway parking on premises \u2013 8 spaces,0.1234696209775802
Baby bath - available upon request,0.1234696209775802
Fast wifi \u2013 112 Mbps,0.1234696209775802
and 5-10 years old,0.12137065833056018
2-5 years old,0.12137065833056018
Children\u2019s books and toys for ages 0-2 years old,0.12137065833056018
Barbecue utensils,0.12090622525910279
stationary bike,0.11969453908151675
workout bench,0.11969453908151675
Portable heater,0.11910043237681621
Baking sheet,0.11866895036296082
Bathtub,0.11552874627782683
Toaster,0.11021869430766507
yoga mat,0.1087969573641842
Hot water kettle,0.10847552129456546
BBQ grill: gas,0.10580548910697561
Smart lock,0.10421482012513703
Elevator,0.10397642732410603
Exterior security cameras on property,0.10280492493881481
french press,0.10158804661398946
Roku,0.10105208100341821
Game console: Nintendo Switch,0.10081912960119958
TV,0.09829564257347045
Fast wifi \u2013 654 Mbps,0.0970440477051362
Crib - always at the listing,0.0970440477051362
Netflix,0.09446096174975202
listing_id,0.09317595836980841
Clothing storage: walk-in closet and wardrobe,0.09251394942986009
Sonos sound system with Bluetooth and aux,0.09251394942986009
Free driveway parking on premises \u2013 4 spaces,0.0925065761612051
Chromecast,0.09228627167241633
Disney+,0.09201293745686288
Stainless steel gas stove,0.09011382890738238
Free carport on premises \u2013 1 space,0.08949388391300923
Frigidaire electric stove,0.08949388391300923
standard cable,0.08901694176020218
Free parking garage on premises \u2013 1 space,0.08876493587999244
Sun loungers,0.08852695227338836
Fire pit,0.08828144177898807
Shared gym in building,0.08662685571929947
GE stainless steel gas stove,0.086054097656299
Mini fridge,0.08459189233540029
Board games,0.0845524402470873
Stainless steel oven,0.082536759524143
host_response_time_within an hour,0.08240937717462006
Dedicated workspace,0.08142435804948878
Long term stays allowed,0.08140358561006199
TV with Amazon Prime Video,0.08021261523722069
Exercise equipment: free weights,0.07826097206790089
Patio or balcony,0.0780527358262491
Samsung gas stove,0.07754001503635437
Gym,0.07351092991070116
Paid street parking off premises,0.07329572156160127
Fast wifi \u2013 228 Mbps,0.07288352357033005
pour-over coffee,0.07127790230630061
Samsung stainless steel electric stove,0.0707966201065871
Central air conditioning,0.0705910286353105
Fast wifi \u2013 102 Mbps,0.06684339253662851
Stainless steel  refrigerator,0.06684339253662851
Stainless steel electric stove,0.0625814829712462
id,0.06181936478480824
Exercise equipment,0.06152408244382565
Record player,0.061460705507697735
neighbourhood_cleansed_FIRST WARD,0.06091191319924846
Room-darkening shades,0.06052733492318919
Dryer \u2013\u00a0In unit,0.06012451579066185
Paid parking off premises,0.059835060298174376
Pack \u2019n play/Travel crib - available upon request,0.05942353606364836
Fast wifi \u2013 481 Mbps,0.059293228744501617
